issn,subject
0021972X,1.0
08876924,1.0
14744422,1.0
10806040,1.0
2309608X,1.0
12019712,1.0
14712334,1.0
18387640,1.0
00900036,1.0
03768716,1.0
0008543X,1.0
19352735,1.0
16006135,1.0
02634368,1.0
22138587,1.0
21686149,1.0
23146133,1.0
17468094,1.0
01909622,1.0
14712407,1.0
08954356,1.0
1748670X,1.0
00257974,1.0
24709468,1.0
02780062,1.0
21583188,1.0
19420900,1.0
00223956,1.0
21650497,1.0
01466615,1.0
23806583,1.0
00338419,1.0
24682667,1.0
13504177,1.0
21682194,1.0
00221899,1.0
1198743X,1.0
03022838,1.0
23288957,1.0
02615614,1.0
23793708,1.0
17417015,1.0
13889842,1.0
17594774,1.0
19368798,1.0
14712318,1.0
14741776,1.0
22132198,1.0
17427061,1.0
01956663,1.0
00852538,1.0
00097330,1.0
13545078,1.0
24681253,1.0
2644125X,1.0
13648535,1.0
1471244X,1.0
03424642,1.0
14712393,1.0
18788750,1.0
03009572,1.0
00221007,1.0
01651781,1.0
00917435,1.0
13872877,1.0
14726920,1.0
09628452,1.0
20426496,1.0
00243205,1.0
21686254,1.0
00278874,1.0
15675769,1.0
01676369,1.0
20585276,1.0
17568722,1.0
2056676X,1.0
16489144,1.0
00034975,1.0
00014842,1.0
17401526,1.0
23986352,1.0
01692607,1.0
0194911X,1.0
17456215,1.0
14620324,1.0
10983600,1.0
22279067,1.0
08835403,1.0
01054538,1.0
01616420,1.0
1054139X,1.0
15401405,1.0
07493797,1.0
03603016,1.0
17468809,1.0
07415214,1.0
25897500,1.0
00034932,1.0
00903493,1.0
00029165,1.0
26890186,1.0
20464053,1.0
1936878X,1.0
00332917,1.0
1741427X,1.0
25740768,1.0
14764598,1.0
23265191,1.0
16197070,1.0
18722067,1.0
26621347,1.0
15607917,1.0
00029270,1.0
20492618,1.0
1017060X,1.0
00297844,1.0
21994536,1.0
17576512,1.0
00139580,1.0
00028614,1.0
00070920,1.0
2157846X,1.0
22181989,1.0
03043835,1.0
00223476,1.0
10689265,1.0
21655979,1.0
23055839,1.0
14773155,1.0
00664804,1.0
09553959,1.0
26879735,1.0
17238617,1.0
01688227,1.0
00325791,1.0
07356757,1.0
0012186X,1.0
14712474,1.0
00071048,1.0
25770187,1.0
01452134,1.0
20457634,1.0
00908258,1.0
10731105,1.0
14712288,1.0
00029297,1.0
00942405,1.0
00207136,1.0
10402446,1.0
03635465,1.0
26944006,1.0
14795876,1.0
20796374,1.0
15537404,1.0
00150282,1.0
02235234,1.0
10995129,1.0
17595045,1.0
17595002,1.0
09652140,1.0
03405354,1.0
00070912,1.0
14628902,1.0
10466673,1.0
26628449,1.0
03618609,1.0
16625161,1.0
23524642,1.0
17569966,1.0
01678140,1.0
2524485X,1.0
09269959,1.0
19490976,1.0
0003066X,1.0
02606917,1.0
08853185,1.0
09414355,1.0
13555855,1.0
21905991,1.0
15510018,1.0
02776715,1.0
0002953X,1.0
00029262,1.0
00447447,1.0
10408398,1.0
20597029,1.0
16147499,1.0
03063674,1.0
21645515,1.0
02726386,1.0
15340392,1.0
01634453,1.0
15258610,1.0
00070963,1.0
14752840,1.0
02692813,1.0
03005771,1.0
03064603,1.0
13515101,1.0
2050750X,1.0
23046732,1.0
25225812,1.0
00029394,1.0
03092402,1.0
23521465,1.0
26667762,1.0
00225223,1.0
14651858,1.0
24519294,1.0
01675273,1.0
26881527,1.0
20555822,1.0
17563305,1.0
21686068,1.0
17439191,1.0
00093920,1.0
00219673,1.0
09447113,1.0
03645134,1.0
